Date,Sales
2024-06-19,201.25
2024-06-20,203.61
2024-06-21,188.79
2024-06-22,162.84
2024-06-23,162.65
2024-06-24,178.23
2024-06-25,214.29
2024-06-26,195.71
2024-06-27,183.28
2024-06-28,196.92
2024-06-29,207.15
2024-06-30,197.58
2024-07-01,186.38
2024-07-02,229.78
2024-07-03,227.47
2024-07-04,240.26
2024-07-05,227.33
2024-07-06,198.73
2024-07-07,202.69
2024-07-08,246.84
2024-07-09,262.73
2024-07-10,235.23
2024-07-11,220.54
2024-07-12,251.6
2024-07-13,196.89
2024-07-14,198.98
2024-07-15,212.15
2024-07-16,203.58
2024-07-17,206.94
2024-07-18,188.28
2024-07-19,194.46
2024-07-20,196.05
2024-07-21,173.31
2024-07-22,171.92
2024-07-23,139.56
2024-07-24,172.83
2024-07-25,149.32
2024-07-26,147.82
2024-07-27,144.82
2024-07-28,159.36
2024-07-29,176.75
2024-07-30,159.06
2024-07-31,188.94
2024-08-01,176.03
2024-08-02,188.1
2024-08-03,204.72
2024-08-04,205.49
2024-08-05,216.5
2024-08-06,210.07
2024-08-07,207.32
2024-08-08,206.5
2024-08-09,218.57
2024-08-10,206.82
2024-08-11,188.01
2024-08-12,197.69
2024-08-13,209.79
2024-08-14,244.91
2024-08-15,219.31
2024-08-16,173.98
2024-08-17,167.1
2024-08-18,145.63
2024-08-19,147.86
2024-08-20,171.16
2024-08-21,184.35
2024-08-22,140.04
2024-08-23,143.06
2024-08-24,108.03
2024-08-25,143.04
2024-08-26,123.68
2024-08-27,148.38
2024-08-28,149.42
2024-08-29,156.21
2024-08-30,138.68
2024-08-31,138.77
2024-09-01,205.23
2024-09-02,150.09
2024-09-03,172.43
2024-09-04,227.61
2024-09-05,239.05
2024-09-06,181.43
2024-09-07,186.77
2024-09-08,202.72
2024-09-09,218.94
2024-09-10,188.35
2024-09-11,201.36
2024-09-12,204.61
2024-09-13,199.25
2024-09-14,171.55
2024-09-15,173.4
2024-09-16,141.82
2024-09-17,168.24
2024-09-18,165.62
2024-09-19,158.64
2024-09-20,145.86
2024-09-21,148.82
2024-09-22,158.22
2024-09-23,136.96
2024-09-24,153.73
2024-09-25,153.18
2024-09-26,144.51
2024-09-27,140.35
2024-09-28,151.19
2024-09-29,152.8
2024-09-30,187.28
2024-10-01,198.77
2024-10-02,189.11
2024-10-03,166.74
2024-10-04,170.95
2024-10-05,202.9
2024-10-06,195.6
2024-10-07,196.29
2024-10-08,176.84
2024-10-09,224.01
2024-10-10,206.47
2024-10-11,184.43
2024-10-12,182.45
2024-10-13,194.25
2024-10-14,180.7
2024-10-15,184.39
2024-10-16,185.6
2024-10-17,168.04
2024-10-18,173.52
2024-10-19,179.83
2024-10-20,114.18
2024-10-21,141.76
2024-10-22,159.6
2024-10-23,163.2
2024-10-24,142.14
2024-10-25,124.91
2024-10-26,150.27
2024-10-27,179.01
2024-10-28,124.8
2024-10-29,182.01
2024-10-30,171.89
2024-10-31,172.39
2024-11-01,167.12
2024-11-02,175.1
2024-11-03,210.72
2024-11-04,198.85
2024-11-05,236.18
2024-11-06,234.78
2024-11-07,216.22
2024-11-08,243.37
2024-11-09,213.47
2024-11-10,222.73
2024-11-11,197.24
2024-11-12,214.51
2024-11-13,202.26
2024-11-14,215.28
2024-11-15,180.22
2024-11-16,196.81
2024-11-17,179.63
2024-11-18,190.59
2024-11-19,193.46
2024-11-20,210.22
2024-11-21,180.04
2024-11-22,145.57
2024-11-23,159.01
2024-11-24,145.08
2024-11-25,151.08
2024-11-26,200.25
2024-11-27,193.45
2024-11-28,166.98
2024-11-29,171.78
2024-11-30,184.82
2024-12-01,174.71
2024-12-02,184.04
2024-12-03,220.26
2024-12-04,243.29
2024-12-05,230.3
2024-12-06,192.99
2024-12-07,228.55
2024-12-08,231.01
2024-12-09,232.11
2024-12-10,265.79
2024-12-11,209.61
2024-12-12,221.55
2024-12-13,241.99
2024-12-14,193.82
2024-12-15,241.9
2024-12-16,213.53
2024-12-17,230.36
2024-12-18,206.31
2024-12-19,214.2
2024-12-20,218.65
2024-12-21,192.28
2024-12-22,193.43
2024-12-23,186.78
2024-12-24,182.55
2024-12-25,198.49
2024-12-26,190.87
2024-12-27,207.13
2024-12-28,211.59
2024-12-29,187.33
2024-12-30,202.22
2024-12-31,248.36
2025-01-01,222.83
2025-01-02,218.44
2025-01-03,245.57
2025-01-04,251.99
2025-01-05,247.33
2025-01-06,266.81
2025-01-07,276.64
2025-01-08,282.07
2025-01-09,268.74
2025-01-10,301.33
2025-01-11,249.76
2025-01-12,222.11
2025-01-13,270.64
2025-01-14,247.71
2025-01-15,255.7
2025-01-16,260.35
2025-01-17,213.23
2025-01-18,204.38
2025-01-19,197.94
2025-01-20,201.25
2025-01-21,232.2
2025-01-22,235.15
2025-01-23,220.65
2025-01-24,198.37
2025-01-25,175.82
2025-01-26,219.82
2025-01-27,209.24
2025-01-28,242.91
2025-01-29,255.75
2025-01-30,243.04
2025-01-31,263.78
2025-02-01,252.07
2025-02-02,266.76
2025-02-03,247.1
2025-02-04,275.01
2025-02-05,289.16
2025-02-06,293.09
2025-02-07,280.65
2025-02-08,287.0
2025-02-09,278.15
2025-02-10,273.68
2025-02-11,300.89
2025-02-12,256.19
2025-02-13,253.75
2025-02-14,250.67
2025-02-15,222.39
2025-02-16,247.25
2025-02-17,259.11
2025-02-18,251.86
2025-02-19,258.82
2025-02-20,259.82
2025-02-21,265.39
2025-02-22,231.72
2025-02-23,257.5
2025-02-24,232.09
2025-02-25,233.17
2025-02-26,243.51
2025-02-27,223.58
2025-02-28,242.28
2025-03-01,246.54
2025-03-02,274.58
2025-03-03,289.54
2025-03-04,260.16
2025-03-05,297.98
2025-03-06,270.77
2025-03-07,304.15
2025-03-08,288.6
2025-03-09,267.73
2025-03-10,307.67
2025-03-11,297.75
2025-03-12,301.7
2025-03-13,281.58
2025-03-14,289.75
2025-03-15,293.54
2025-03-16,282.6
2025-03-17,279.89
2025-03-18,289.1
2025-03-19,302.45
2025-03-20,260.8
2025-03-21,242.15
2025-03-22,268.84
2025-03-23,246.48
2025-03-24,261.21
2025-03-25,262.18
2025-03-26,257.17
2025-03-27,256.03
2025-03-28,288.11
2025-03-29,283.5
2025-03-30,258.91
2025-03-31,259.26
2025-04-01,293.38
2025-04-02,271.84
2025-04-03,286.8
2025-04-04,291.15
2025-04-05,292.19
2025-04-06,282.05
2025-04-07,267.97
2025-04-08,277.29
2025-04-09,297.95
2025-04-10,299.49
2025-04-11,306.05
2025-04-12,330.36
2025-04-13,317.79
2025-04-14,275.02
2025-04-15,305.47
2025-04-16,291.63
2025-04-17,278.19
2025-04-18,284.23
2025-04-19,275.62
2025-04-20,258.24
2025-04-21,269.75
2025-04-22,244.25
2025-04-23,262.71
2025-04-24,292.08
2025-04-25,257.23
2025-04-26,266.8
2025-04-27,249.91
2025-04-28,254.01
2025-04-29,261.1
2025-04-30,266.82
2025-05-01,252.08
2025-05-02,281.02
2025-05-03,256.21
2025-05-04,289.38
2025-05-05,295.34
2025-05-06,302.59
2025-05-07,299.61
2025-05-08,304.82
2025-05-09,299.08
2025-05-10,310.2
2025-05-11,269.18
2025-05-12,285.76
2025-05-13,270.78
2025-05-14,278.56
2025-05-15,310.02
2025-05-16,301.61
2025-05-17,260.21
2025-05-18,245.02
2025-05-19,209.49
2025-05-20,256.26
2025-05-21,301.53
2025-05-22,255.02
2025-05-23,239.31
2025-05-24,242.76
2025-05-25,211.69
2025-05-26,225.02
2025-05-27,245.65
2025-05-28,247.52
2025-05-29,254.23
2025-05-30,254.83
2025-05-31,254.41
2025-06-01,240.89
2025-06-02,265.41
2025-06-03,296.36
2025-06-04,263.3
2025-06-05,259.57
2025-06-06,303.62
2025-06-07,272.76
2025-06-08,304.11
2025-06-09,269.93
2025-06-10,314.48
2025-06-11,295.71
2025-06-12,285.77
2025-06-13,307.71
2025-06-14,262.83
2025-06-15,251.88
2025-06-16,248.04
2025-06-17,270.31
2025-06-18,235.09
2025-06-19,254.26
2025-06-20,233.78
2025-06-21,245.51
2025-06-22,187.53
2025-06-23,203.44
2025-06-24,200.28
2025-06-25,215.82
2025-06-26,222.74
2025-06-27,220.95
2025-06-28,211.79
2025-06-29,219.56
2025-06-30,223.08
2025-07-01,222.1
2025-07-02,257.83
2025-07-03,252.44
2025-07-04,257.43
2025-07-05,255.25
2025-07-06,258.9
2025-07-07,284.45
2025-07-08,267.35
2025-07-09,269.08
2025-07-10,252.85
2025-07-11,252.26
2025-07-12,237.43
2025-07-13,243.76
2025-07-14,247.05
2025-07-15,262.82
2025-07-16,256.26
2025-07-17,227.42
2025-07-18,252.11
2025-07-19,233.41
2025-07-20,216.29
2025-07-21,196.69
2025-07-22,224.84
2025-07-23,218.23
2025-07-24,178.99
2025-07-25,203.22
2025-07-26,197.71
2025-07-27,182.73
2025-07-28,195.53
2025-07-29,185.66
2025-07-30,237.11
2025-07-31,230.07
2025-08-01,215.14
2025-08-02,220.33
2025-08-03,184.63
2025-08-04,203.84
2025-08-05,236.44
2025-08-06,231.61
2025-08-07,253.84
2025-08-08,281.18
2025-08-09,222.03
2025-08-10,231.17
2025-08-11,241.46
2025-08-12,275.44
2025-08-13,230.39
2025-08-14,240.03
2025-08-15,264.59
2025-08-16,193.67
2025-08-17,197.06
2025-08-18,198.67
2025-08-19,205.07
2025-08-20,224.07
2025-08-21,199.93
2025-08-22,167.52
2025-08-23,190.83
2025-08-24,174.27
2025-08-25,196.57
2025-08-26,180.0
2025-08-27,184.31
2025-08-28,195.52
2025-08-29,206.58
2025-08-30,195.82
2025-08-31,169.87
2025-09-01,204.71
2025-09-02,199.08
2025-09-03,228.33
2025-09-04,197.28
2025-09-05,236.34
2025-09-06,210.65
2025-09-07,209.75
2025-09-08,238.0
2025-09-09,245.65
2025-09-10,235.4
2025-09-11,257.5
2025-09-12,229.28
2025-09-13,223.75
2025-09-14,226.76
2025-09-15,201.64
2025-09-16,227.67
2025-09-17,209.29
2025-09-18,195.67
2025-09-19,222.8
2025-09-20,169.41
2025-09-21,146.37
2025-09-22,201.1
2025-09-23,227.47
2025-09-24,182.06
2025-09-25,147.38
2025-09-26,178.55
2025-09-27,171.13
2025-09-28,179.16
2025-09-29,162.43
2025-09-30,208.36
2025-10-01,216.33
2025-10-02,180.02
2025-10-03,225.38
2025-10-04,243.06
2025-10-05,221.87
2025-10-06,212.64
2025-10-07,233.92
2025-10-08,252.66
2025-10-09,207.48
2025-10-10,243.13
2025-10-11,224.29
2025-10-12,262.21
2025-10-13,221.47
2025-10-14,261.59
2025-10-15,216.48
2025-10-16,228.94
2025-10-17,223.76
2025-10-18,189.57
2025-10-19,204.43
2025-10-20,210.02
2025-10-21,195.0
2025-10-22,172.83
2025-10-23,187.04
2025-10-24,175.49
2025-10-25,174.08
2025-10-26,182.29
2025-10-27,152.13
2025-10-28,170.52
2025-10-29,211.47
2025-10-30,190.44
2025-10-31,167.63
2025-11-01,217.46
2025-11-02,218.96
2025-11-03,203.49
2025-11-04,213.92
2025-11-05,257.38
2025-11-06,244.72
2025-11-07,285.64
2025-11-08,247.51
2025-11-09,252.36
2025-11-10,238.29
2025-11-11,267.67
2025-11-12,266.51
2025-11-13,264.2
2025-11-14,236.71
2025-11-15,224.13
2025-11-16,222.16
2025-11-17,231.51
2025-11-18,251.82
2025-11-19,219.08
2025-11-20,205.42
2025-11-21,217.8
2025-11-22,196.11
2025-11-23,216.75
2025-11-24,158.67
2025-11-25,195.82
2025-11-26,201.47
2025-11-27,169.76
2025-11-28,199.56
2025-11-29,195.26
2025-11-30,215.61
2025-12-01,236.75
2025-12-02,235.5
2025-12-03,232.95
2025-12-04,245.21
2025-12-05,273.36
2025-12-06,236.71
2025-12-07,245.94
2025-12-08,267.3
2025-12-09,271.59
2025-12-10,290.53
2025-12-11,270.6
2025-12-12,285.64
2025-12-13,246.24
2025-12-14,263.23
2025-12-15,250.45
2025-12-16,244.14
2025-12-17,237.33
2025-12-18,258.68
2025-12-19,241.64
2025-12-20,216.63
2025-12-21,230.93
2025-12-22,241.33
2025-12-23,198.51
2025-12-24,213.23
2025-12-25,212.51
2025-12-26,256.05
2025-12-27,229.65
2025-12-28,244.19
2025-12-29,212.07
2025-12-30,231.68
2025-12-31,266.11
